Date,PeopleInvolved,PersonOfFocus,EventType,EventDescription,OrganizationsInvolved,Location,CommunicationDetails,ClassificationLevel,SourcePage
9 November 1961,,,,,,,,For file:,516
Document date; 6 August 1962; Field assignment date; 31 July 1962,"Quentin C. Johnson, Chief of Operations and Plans, SR Division",,,Extension of performance statements for the remainder of service as Chief of SR/G.,SR Division,,Not applicable,Document contains redactions.; For file:,517
20 December 1948,,,,,Department of State; Front Nationale (France),,,For file:,518
,,,,There is suspicion of the Resistance due to Communists and Socialists.; Currency changes have been introduced.; Efforts to repair Cherbourg were undertaken without consulting unions.,Cherbourg is mentioned in the context of repairs and labor.,,References to local authorities handling issues.,"Document is marked as ""SECRET.""; Some sections are redacted.; For file:",519
Date of Report; 28 April 1946,Theron (close friend mentioned),,,,"""Front National""; French press",,"Information from a member of the ""Front National"" staff disclosed to a well-tried source.",Secret; For file:,520
,Name; Gilbert; Movements; Representing the Northern Sector of La Resistance,,,"Remarks about resistance movement potentially run by communists, strongest in the north.",La Resistance,,,Document contains partially redacted information.; For file:,521
,Ettore Odinetti,,,,Marseilles; CADI office,,,Classification; SECRET; For file:,522
Acquired; 28 April 1949; Report; 29 April 1949; Organized; November 1944; Dissolved; December 1948,,,,The Comit d'Action et de Dfense des Immigrs was organized in Paris in November 1944 and operated overtly until; dissolved as a subversive group by a decree of the Ministry of the Interior in December 1948.,Acquired in Marseille,,,Classification; HOMOEHDRAL; Evaluation; C-8; For file:,523
24 March 1951,Leon H. Elbeman; Jack Vast; Keith Angell; Mr. William Crawford,,,"A list was given to Leon H. Elbeman recently by Jack Vast.; The list was originally given to Vast by Keith Angell from a source in the Prefecture of Police, Paris.","Prefecture of Police, Paris; International organizations recently expelled from France mentioned (IPU, WFTU, TFU)",,Jack Vast transmitted a copy of the list to Mr. William Crawford.,"Secret Control; Document marked with ""SECRET CONTROL U.S. OFFICIALS ONLY""; For file:",524
11.19.54; 1956,,,,,"Parti Communiste Francaise, 44 rue Le Peletier 42; Amicales des Locataires des Halles, 39 rue Travers Cout (15eme); Amicale des Victimes de la Guerre, 93 rue Dam Voulanger (15eme); Amicale des Colonataires de la Rue Douzilitone, 45 rue du Faubourg Montmartre; Union Nationale des Anciens P T T, 1 rue de Massenjue (9eme); Amicale Republicaine des Anciens Combotants, 43 rue Faubourg Montmartre (9eme); Amis de la Commune, 37 rue du Louvre (2eme); Amis de la Nature, 19 rue St. George (9eme); Union de la Mais, 37 rue Jouemont (16eme); Union Franco-Polonaise du Boulevard des Italiens (2eme); Union des Travailleurs Scientifiques, 37 rue Godfroy St. Hilaire (5eme); Association d'Etudes et d'Informations Municipales, 1 rue de Massenjue (9eme); Association Nationale des Anciens PTT; 17 Boulevard des Italiens (2eme)",,,Document appears to have redacted sections and is stamped with a classification mark including the date.; For file:,525
22-4-5,"Casimir Jousseron, Prof. at University of Aix; Georges Mounier, Writer; Francis Halbwachs, Fellow at University of Aix; Perrine Boos",,,The movement is directed at university groups.,University of Aix; Amies de la Paix,,Not specified,"Marked as ""SECRET""; For file:",526
,,,,"Insurrection planning with potential support from ""richards"" and a possible alignment with Communists.; Results of the legislative elections in 1946.; Results of the municipal elections in 1947.","Marseille, Arles, Aubagne, la Ciotat, Martigues, Miramas, Port-de-Bouc, Carpenrass, Gardanne, St. Louis du Rhone, St.; Chamas.",,,"Document marked as ""SECRET.""; For file:",527
Document creation date; 25 August 1967; Effective date requested; 09 October 1967,Henry L. Berthold,,,Reassignment request for personnel,DDP/WH (Directorate of Plans/Western Hemisphere),,From; SAME/0418; C/WH/Personnel involvement,"Document marked as ""SECRET""; For file:",528
Date Prepared; 29 March 1967; Effective Date Requested; 04 September 1967; Date Signed; 29 March 1967; Date Approved; 2 April 1967,"Robert W. Gambino, Chief, WH Personnel",,,Reassignment requested for the position of OPS Officer.,"DDP/WH; Foreign Field, Branch I; Mexico City, Mexico Station",,,"Classification; Secret; Redactions; None explicitly noted, but markings indicate potential sensitive information.; For file:",529
1976; (4-21-55),,,,,,,,SECRET; For file:,530
14 May 1963; 18 May 1963; 25/4/63; 11/1/62; 4/3/63,Robert D. Lashbrook; Jerry C. Sapin (approving official),,,,"Mexico City, Mexico Station; DDP WH; CIA",,,"Document is marked ""SECRET""; Redacted sections present; For file:",531
Date Prepared; 30 October 1962; Effective Date Requested; 1 November 1962; Date Signed (Career Service Officer); 1/8/62; Date Approved (O.P. Approval); 11/8/62,Boris D. Tarasoff; Gavin C. Wilson; J.C. Scoville,,,Reassignment noted for Boris D. Tarasoff,"Washington, D.C.; From; DDI/DDI/SSS/RR/Materials & Industry Sect.",,Concurrence note signed by J.C. Scoville,,532
Date of Birth; 2 Nov 1928; Date Reviewed; 10 Nov 1969,"Tomashvili, Boris D.",,,,,,,Classification Level; Secret; For file:,533
1/10/1970; 11/28/1970; 12/1/1970; 2/3/1971; 1/5/1971; 6/2/1951,(Signature) For Chief Payroll (Name not legible),,,Leave balance calculations and usage noted in the document.,U.S. Civil Service Commission,,,,534
FIT; 13 APR 67; Effective Date; JUL 19 67; Date of Birth; 11/29/08; Date Posted; 07-4 67,Name; [Redacted],,,Reassignment,"DDP/AM  - FOREIGN FIELD - BRANCH J; Mexico City, Mexico Station",,None specifically stated,,535
05/01/60; 10/29/61; 19/MAR/52; 19 MAY,A. Stewart,,,,"FDD; USSR Branch; Materials & Industry Section; Washington, D.C.",,,SECRET; For file:,536
,Tarasoff Boris D; (Note; No further information was extractable from the provided image.); For file:,,,,,,,,537
Last Effective Date (Old Salary); 02/20/56; Effective Date (New Salary); 02/24/57,,,,,,,,For file:,538
2 Nov 1900 (Date of Birth); 3 October 1956 (Document Date); 7 Oct 1956 (Effective Date); 20/20/56 (Reference Date); 22/20/56 (Reference Date),MR. Boris D. Tarasoff,,,Notification of Reassignment; Change of Position Title,"CENTRAL INTELLIGENCE AGENCY; DDI/Office of Operations; Foreign Documents Division; USSR Branch; Washington, D.C.",,None specifically noted,"SECRET; Some redactions present, detail not visible; For file:",539
,,,,,Current Station; Mexico City,,,Position Title; Ops Officer; Assignment; DDP/WH/1; For file:,540
1963-1970,"Brother-in-law in Cleveland, Ohio",,,Left the USA for Mexico with wife and children to avoid weather extremes and explore investment opportunities.; Income during this period came from annuities and money lent to brother-in-law.; Investment in an amusement machine business (Cadillac Music Co.).,"Cleveland, Ohio; Cadillac Music Co.",,"Correspondence by mail with an unspecified organization or individual at the address in Boston, Massachusetts.",None; For file:,541
"14 February 1968; January 1963 (Standard Form No. 176-T); April 10, 1963 (Use until date)",,,,,,,,Document includes redactions on the signature line.; For file:,542
Document Date; 17 Feb 64; Reference; 17 Feb 64,C. Bustos,,,Not specified in visible text.,WH/3/Mexico; Mexico City,,From,Classification; SECRET; Redacted Information Present; For file:,543
Two years from the date of arrival.,Unreadable signature. (Illegible Name) from the United States Government; Director or Assistant Director.,,,Assignments and duties abroad mentioned.; Violation of regulations referenced.,"United States Government.; Transfer and duties abroad mentioned, but specific locations are unclear.",,"""Agreed"" section redacted.; Communication includes orders and agreements related to assignments.","Redaction present next to ""Agreed.""; For file:",544
,[Redacted],,,"Duties; Translator - Russian, Spanish","FDD/USSR Branch/Hq; Areas of Knowledge; USSR, Turkey, All Western Europe, Mexico",,Not specified,"Document marked as ""Secret""; Redactions present (names and possibly other sensitive details); For file:",545
5 Jul 78; 8 Aug 78,Betsy Wolf,,,,House Select Committee on Assassinations; CIA Headquarters,,,,546
23 February 1962; 5 February 1962,"Director, Federal Bureau of Investigation; Mr. S. J. Papich; Deputy Director (Plans); Secom Spiridon Rorhilik/Secom Rorhilily",,,"Reference is made to a memorandum dated 5 February 1962.; An interview of the subject by the Bureau is suggested, noting that it would not adversely affect any of the Agency's; sources or operations.",Federal Bureau of Investigation; Internal Security - Russia,,"The communication is from the Deputy Director (Plans) to the Director of the FBI, with attention to Mr. S. J. Papich.","The document is marked ""SECRET.""; For file:",547
15 January 1962; 21 December 1961; 24 November 1961,,,,,Salzburg police,,"Distribution list including various CI, SR, and RI references","Classified as ""SECRET""; For file:",548
30 Nov. 1961,Semen Spiridon Pohorilyj,,,,FBI; Buffalo,,,,549
11 Oct 61 (Document date); Early September 1961 (Event date regarding letter reception),Seena Spiridon Pchrelik (also known as Seena Pcherlin); Antin Izycypuk; Dallamasky; Bysto Wasylaszix (Secretary of the Ukrainian Workingmen's Association),,,"Antin Izycypuk received a letter addressed to Dallamasky in early September 1961.; An address used by Pchrelik identified as 531 North Seventh Street, Philadelphia.; Activities possibly related to meetings of the Ukrainian Workingmen's Association.",Federal Bureau of Investigation; Ukrainian Workingmens Association; Philadelphia (specific address; 531 North Seventh Street),,Letter received by Antin Izycypuk addressed to Dallamasky.; The document is a communication from the Deputy Director (Plans) to the FBI Director.,"Document marked as ""SECRET""; ```; For file:",550
DATE; 8 SEP 61,ANTON NYCZPORUK; DIALNAWSKY,,,UNBOUND SURVEILLANCE revealed receipt letter.,REDWOOD LCIMPROVS; PARIS; PHILADELPHIA 23 PA,,,SECRET; For file:,551
22 June 1961,Semen Spiridon Pohorilyj,,,,FBI; Philadelphia,,,,552
,Dr. Colin Reid; SR/Rita Perkins,,,,TSD (Technical Services Division); CI (Counter Intelligence); RI (Not specified further); CI/R&A,,"CC to; TSD - Dr. Colin Reid; Distributions; Addresses include TSD, SR/Rita Perkins, RI, CI, CI/R&A",Attachment REMOTE TEST (modified); For file:,553
28 April 1961; 3 May 1961; 19 May 1961,"Semen Spiridon Poberejil aka Poberelij; James Angleton; John B. Hurt, Jr.; Rita Perkins (Originator; SR/2/CS)",,,A letter reportedly from subject tested for secret writing.; Secret writing presence confirmed by technicians but then disappeared before a third technician observed it.; One line of secret writing visibly detected and had traces on other parts of the letter.,Federal Bureau of Investigation; CCI (Counterintelligence); SR/2/CS; CI/OD/SS; CI/R&A,,Memorandum addressed to the Director of the FBI.; Cited memorandums from 28 April and 3 May 1961 referenced.,"CCI-3/765,321 (classification or reference number); Several ""dummy copies"" distributed.; For file:",554
,S. J. Papich; Seaman POKROULIK,,,,Federal Bureau of Investigation,,,For file:,555
3 April 1961; 4 April 61,KPerkins,,,,SR/2/CE; Paris,,FROM; DIRECTOR; TO; PARIS,CLASSIFIED MESSAGE; CONF.; SR 6; For file:,556
Date; 3/1 (Year not specified),Mr. S. J. Papich,,,,Federal Bureau of Investigation,,"To; Director, FBI (Attention; Mr. S. J. Papich); From; Deputy Director (Plans)",,557
18 February 1961; 9 January 1961; 16 November 1960; 17 February 1961,Eisen Povrelkin,,,A bureau report was made in Philadelphia on 18 February 1961.; Memorandum from Deputy Director (Plans) dated 9 January 1961.; CIA Teletype dated 16 November 1960 and 17 February 1961.,,,Reference to POREHLIN letter and secret writing.,Document is a copy with markings CS COPY.; For file:,558
29 March 1961,Rita Perkins,,,,CI/R&A; CI/Liaison; C/CI; RID/VT; SR/RB8/BL; SR/2/CE,,Distribution list includes specified organizations.,For file:,559
21 February 1961; Deferred; 24 February 61,Rita Perkins; Director,,,,"Paris; SR/2/CE; CI, CI/OPS, Fl, TSD",,,Classified Message; S-E-C-R-E-T; Some text redactions present.; For file:,560
17 February 1961,Rota Perkins,,,,FBI,,From; Director,,561
"FEB 16, 1961; Letter delivered 8-9 January",NYCZYPORUK; BYDNIK; AEDOGMA,,,AEDOGMA delivered a letter on 8-9 January.; NYCZYPORUK opened and read the letter immediately.; Doctors consider the subject completely cured.; Requests regarding repatriation were discussed.,"Paris; Reference to CI, CI/OPS, FI, TSD",,Communication from Paris to a Director.; Reference to a letter delivery to NYCZYPORUK.,"Classified as ""SECRET""; Various redactions present.; For file:",562
,Antin YNYKPORUK,,,Arrived in France in 1950; Worked as a manual laborer and electrician; Interned in psychiatric hospitals since 1954; Police intervened on several occasions,Various psychiatric hospitals; Villejuif; 56 rue de Montreuil; Bureau de la Main dOeuvre,,Unemployment payment refused by Bureau de la Main dOeuvre,"Document classified as ""SECRET""; For file:",563
22 November 1960; 13 October 1898; 1925; 1927; 1945 to 1947,,,,Lawrya Gmyr's emigration to France in 1925,"Ukraine; France; Sitkhorchi Strilci; Spilka Ukrainskoi Molodi (Ukrainian Youth in France); Soyuz Ukrainskych Hromadjan v Franzii (Union of Ukrainian Citizens in France); Batkivteshchyna (Homeland); Paris, 211 Rue de Berry",,Reference to a memorandum dated 22 November 1960; Mentioned delivery of a letter to Paris,"Classified as ""CS COPY""; For file:",564
